SKUNumber,SKUDescription,UnitSize,UnitsPerCase,QtySoldInMonth,UnitofMeasureSold,LicNumber,LicName,CasePrice,UnitPrice
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76861300,CALGARY CO-OP WINES & SPIRITS - HAMPTONS,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76863800,CALGARY CO-OP WINES & SPIRITS - QUARRY,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76941500,SOBEYS LIQUOR (CRANSTON),71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76941500,SOBEYS LIQUOR (CRANSTON),75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76943500,LEDUC CO-OP LIQUOR,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76952700,CALGARY CO-OP WINES & SPIRITS-CROWFOOT,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76952700,CALGARY CO-OP WINES & SPIRITS-CROWFOOT,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76965500,WILD ORCHID LIQUOR COMPANY,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,2,CS,76965500,WILD ORCHID LIQUOR COMPANY,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76978100,DICKINSFIELD LIQUOR STORE,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,2,CS,76978100,DICKINSFIELD LIQUOR STORE,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76983100,CELLAR DOOR,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,4,CS,77004100,CALGARY CO-OP WINES & SPIRITS - NORTH,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,77130500,EVERYTHING WINE AND MORE,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,77168200,SOBEYS LIQUOR (WESTLOCK),71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,77185800,CO-OP WINE SPIRITS BEER - MONTROSE,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,2,CS,77193700,SOBEYS LIQUOR (STRATHCONA SQUARE),71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,77218400,CAP LIQUOR STORE,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,2,CS,77264200,LIQUOR POINT,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,2,CS,77264200,LIQUOR POINT,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,77278000,SOBEYS LIQUOR (THICKWOOD),71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,77284200,ECO LIQUOR,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,77293400,SOUTH COUNTRY CO-OP @ CHINOOK LIQUOR,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,2,CS,77300100,CO-OP WINE SPIRITS BEER-KENSINGTON,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,77301000,MAGPIE AND STUMP,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,77301000,MAGPIE AND STUMP,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,77302100,SOBEYS LIQUOR (COCHRANE),71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,77343900,BALKAN RESTAURANT,75.66,12.61
