SKUNumber,SKUDescription,UnitSize,UnitsPerCase,QtySoldInMonth,UnitofMeasureSold,LicNumber,LicName,CasePrice,UnitPrice
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,2,CS,77816500,HEART MOUNTAIN STORE/CAFE,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,2,CS,78050400,ACE LIQUOR DISCOUNTER AT TUSCANY,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,2,CS,78140100,OLYMPIA LIQUOR COP,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,3,CS,76861300,CALGARY CO-OP WINES & SPIRITS - HAMPTONS,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,3,CS,77004100,CALGARY CO-OP WINES & SPIRITS - NORTH,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,4,CS,77741700,CO-OP WINE SPIRITS BEER - MOUNTAIN RIDGE,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,4,CS,77996300,ACE LIQUOR DISCOUNTER AT CANMORE,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,5,CS,78253400,VAULT LIQUOR MART,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,7,CS,76474700,LIQUOR DEPOT AT CASCADE,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,9,CS,76474700,LIQUOR DEPOT AT CASCADE,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,9,CS,77879300,CORK'N BOTTLE BEER WINE & SPIRITS,75.66,12.61
